Transaction date,Applies to,Transaction type,Description,PAYE scheme,Payroll month,Levy declared,English %,10% top up,Training provider,Unique learner number,Apprentice,Apprenticeship training course,Course level,Paid from levy,Your contribution,Government contribution,Total,Company Name,Pledge ID
10/08/2021,01/08/2021,Completion Payment,Completion Payment,,,0,0,0,WORKFORCE TRAINING & DEVELOPMENT LTD,1023456789,Billy,Retailer,2,-260,0,0,-260,Belhavel Construction Ltd,874562
09/06/2021,01/06/2021,Monthly Payment,Monthly Payment,,,0,0,0,CROSBY MANAGEMENT TRAINING LTD,1689462573,Bob,Retailer,2,457.14286,0,0,457.14286,CBJ Engineering,910105
12/05/2021,01/05/2021,Monthly Payment,Monthly Payment,,,0,0,0,CROSBY MANAGEMENT TRAINING LTD,1689462573,Bob,Retailer,2,-228.57143,0,0,-228.57143,CBJ Engineering,910105
08/07/2021,01/07/2021,Monthly Payment,Monthly Payment,,,0,0,0,CROSBY MANAGEMENT TRAINING LTD,9654834567,Joe,Retailer,2,-225.64103,0,0,-225.64103,CBJ Engineering,910105
09/06/2021,01/06/2021,Monthly Payment,Monthly Payment,,,0,0,0,CROSBY MANAGEMENT TRAINING LTD,9654834567,Joe,Retailer,2,-225.64103,0,0,-225.64103,CBJ Engineering,910105
12/05/2021,01/05/2021,Monthly Payment,Monthly Payment,,,0,0,0,CROSBY MANAGEMENT TRAINING LTD,9654834567,Joe,Retailer,2,-225.64103,0,0,-225.64103,CBJ Engineering,910105
09/09/2021,01/09/2021,Monthly Payment,Monthly Payment,,,0,0,0,CROSBY MANAGEMENT TRAINING LTD,3568456786,Jeb,Retailer,2,-266.66667,0,0,-266.66667,CBJ Engineering,910105
10/08/2021,01/08/2021,Monthly Payment,Monthly Payment,,,0,0,0,CROSBY MANAGEMENT TRAINING LTD,3568456786,Jeb,Retailer,2,-266.66667,0,0,-266.66667,CBJ Engineering,910105
08/07/2021,01/07/2021,Monthly Payment,Monthly Payment,,,0,0,0,CROSBY MANAGEMENT TRAINING LTD,3568456786,Jeb,Retailer,2,-266.66667,0,0,-266.66667,CBJ Engineering,910105
09/06/2021,01/06/2021,Monthly Payment,Monthly Payment,,,0,0,0,CROSBY MANAGEMENT TRAINING LTD,3568456786,Jeb,Retailer,2,-266.66667,0,0,-266.66667,CBJ Engineering,910105
12/05/2021,01/05/2021,Monthly Payment,Monthly Payment,,,0,0,0,CROSBY MANAGEMENT TRAINING LTD,3568456786,Jeb,Retailer,2,-266.66667,0,0,-266.66667,CBJ Engineering,910105
